lib,version,shape,size,autoScheduling,ttr,ttfp,memory,fps,fpsMin,move,bulk,samples,note,harness,session,measured_at
"dhtmlx","10.0.3","flat","1000","false","59","59","5","60","61","15","41","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","flat","1000","true","88","88","7","60","61","53","28","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","flat","5000","false","93","93","8","60","61","30","47","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","flat","5000","true","185","185","14","60","60","130","66","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","flat","10000","false","133","133","10","60","61","41","64","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","flat","10000","true","312","312","22","60","60","235","126","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","flat","50000","false","414","414","33","60","60","165","211","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","flat","50000","true","1154","1154","86","60","60","940","617","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","flat","100000","false","760","760","62","60","60","316","391","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","flat","100000","true","2235","2235","167","60","60","1902","1289","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","tree","1000","false","58","58","5","60","61","15","42","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","tree","1000","true","89","88","7","60","61","46","31","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","tree","5000","false","98","98","8","60","61","24","50","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","tree","5000","true","195","195","14","60","60","84","67","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","tree","10000","false","145","145","10","60","61","38","63","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","tree","10000","true","311","311","23","60","60","126","110","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","tree","50000","false","520","520","33","60","60","129","217","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","tree","50000","true","1255","1255","93","60","60","496","525","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","tree","100000","false","1005","1005","63","60","60","256","406","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"dhtmlx","10.0.3","tree","100000","true","2399","2399","181","60","60","964","1106","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"bryntum","7.3.6","flat","1000","false","610","190","55","60","60","102","241","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"bryntum","7.3.6","flat","1000","true","703","190","57","60","60","372","439","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"bryntum","7.3.6","flat","5000","false","2052","392","172","60","59","327","691","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"bryntum","7.3.6","flat","5000","true","2922","396","178","60","60","1513","1769","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
