lib,version,shape,size,autoScheduling,run,ttr,ttfp,memory,fps,fpsMin,move,bulk,note,harness,session,measured_at
"dhtmlx","10.0.3","flat","1000","false","1","69","69","5","61","61","15","35","","1.0.0","20260903-213711","2026-09-03T18:37:14.369Z"
"dhtmlx","10.0.3","flat","1000","false","2","58","58","5","60","61","16","41","","1.0.0","20260903-213711","2026-09-03T18:37:17.175Z"
"dhtmlx","10.0.3","flat","1000","false","3","59","59","5","60","61","15","41","","1.0.0","20260903-213711","2026-09-03T18:37:19.954Z"
"dhtmlx","10.0.3","flat","1000","true","1","89","89","7","60","61","49","28","","1.0.0","20260903-213711","2026-09-03T18:37:22.730Z"
"dhtmlx","10.0.3","flat","1000","true","2","88","88","7","60","61","54","28","","1.0.0","20260903-213711","2026-09-03T18:37:25.500Z"
"dhtmlx","10.0.3","flat","1000","true","3","87","87","7","60","61","53","29","","1.0.0","20260903-213711","2026-09-03T18:37:28.283Z"
"dhtmlx","10.0.3","flat","5000","false","1","93","93","8","60","61","32","48","","1.0.0","20260903-213711","2026-09-03T18:37:31.049Z"
"dhtmlx","10.0.3","flat","5000","false","2","93","93","8","60","61","30","47","","1.0.0","20260903-213711","2026-09-03T18:37:33.864Z"
"dhtmlx","10.0.3","flat","5000","false","3","94","94","8","60","61","29","46","","1.0.0","20260903-213711","2026-09-03T18:37:36.632Z"
"dhtmlx","10.0.3","flat","5000","true","1","187","187","14","60","61","130","66","","1.0.0","20260903-213711","2026-09-03T18:37:39.582Z"
"dhtmlx","10.0.3","flat","5000","true","2","185","185","14","60","60","130","66","","1.0.0","20260903-213711","2026-09-03T18:37:42.550Z"
"dhtmlx","10.0.3","flat","5000","true","3","185","185","14","60","60","133","69","","1.0.0","20260903-213711","2026-09-03T18:37:45.651Z"
"dhtmlx","10.0.3","flat","10000","false","1","132","132","10","61","61","41","64","","1.0.0","20260903-213711","2026-09-03T18:37:48.520Z"
"dhtmlx","10.0.3","flat","10000","false","2","134","134","10","60","61","40","64","","1.0.0","20260903-213711","2026-09-03T18:37:51.364Z"
"dhtmlx","10.0.3","flat","10000","false","3","133","133","10","60","61","41","63","","1.0.0","20260903-213711","2026-09-03T18:37:54.186Z"
"dhtmlx","10.0.3","flat","10000","true","1","321","321","22","60","60","235","122","","1.0.0","20260903-213711","2026-09-03T18:37:57.487Z"
"dhtmlx","10.0.3","flat","10000","true","2","312","312","22","60","60","236","126","","1.0.0","20260903-213711","2026-09-03T18:38:00.773Z"
"dhtmlx","10.0.3","flat","10000","true","3","309","309","22","60","60","234","127","","1.0.0","20260903-213711","2026-09-03T18:38:04.050Z"
"dhtmlx","10.0.3","flat","50000","false","1","419","419","33","60","60","165","218","","1.0.0","20260903-213711","2026-09-03T18:38:07.485Z"
"dhtmlx","10.0.3","flat","50000","false","2","414","414","33","60","60","159","211","","1.0.0","20260903-213711","2026-09-03T18:38:10.871Z"
"dhtmlx","10.0.3","flat","50000","false","3","414","414","33","60","61","167","211","","1.0.0","20260903-213711","2026-09-03T18:38:14.246Z"
"dhtmlx","10.0.3","flat","50000","true","1","1166","1166","86","60","60","933","616","","1.0.0","20260903-213711","2026-09-03T18:38:19.615Z"
"dhtmlx","10.0.3","flat","50000","true","2","1147","1147","86","60","61","940","617","","1.0.0","20260903-213711","2026-09-03T18:38:24.968Z"
"dhtmlx","10.0.3","flat","50000","true","3","1154","1154","86","60","60","943","621","","1.0.0","20260903-213711","2026-09-03T18:38:30.315Z"
"dhtmlx","10.0.3","flat","100000","false","1","755","755","62","60","60","316","393","","1.0.0","20260903-213711","2026-09-03T18:38:34.448Z"
"dhtmlx","10.0.3","flat","100000","false","2","760","760","62","60","60","314","391","","1.0.0","20260903-213711","2026-09-03T18:38:38.499Z"
"dhtmlx","10.0.3","flat","100000","false","3","760","760","62","60","60","322","390","","1.0.0","20260903-213711","2026-09-03T18:38:42.611Z"
"dhtmlx","10.0.3","flat","100000","true","1","2228","2228","167","60","61","1875","1289","","1.0.0","20260903-213711","2026-09-03T18:38:50.658Z"
"dhtmlx","10.0.3","flat","100000","true","2","2289","2289","167","60","60","1927","1289","","1.0.0","20260903-213711","2026-09-03T18:38:58.859Z"
"dhtmlx","10.0.3","flat","100000","true","3","2235","2235","167","60","60","1902","1316","","1.0.0","20260903-213711","2026-09-03T18:39:07.028Z"
"dhtmlx","10.0.3","tree","1000","false","1","58","58","5","60","61","15","42","","1.0.0","20260903-213711","2026-09-03T18:39:09.804Z"
"dhtmlx","10.0.3","tree","1000","false","2","58","58","5","60","61","15","43","","1.0.0","20260903-213711","2026-09-03T18:39:12.521Z"
"dhtmlx","10.0.3","tree","1000","false","3","57","57","5","60","60","15","42","","1.0.0","20260903-213711","2026-09-03T18:39:15.233Z"
"dhtmlx","10.0.3","tree","1000","true","1","89","89","7","60","61","46","31","","1.0.0","20260903-213711","2026-09-03T18:39:17.983Z"
"dhtmlx","10.0.3","tree","1000","true","2","89","88","7","60","61","46","31","","1.0.0","20260903-213711","2026-09-03T18:39:20.712Z"
"dhtmlx","10.0.3","tree","1000","true","3","88","88","7","60","61","34","28","","1.0.0","20260903-213711","2026-09-03T18:39:23.431Z"
"dhtmlx","10.0.3","tree","5000","false","1","100","100","8","60","61","23","52","","1.0.0","20260903-213711","2026-09-03T18:39:26.232Z"
"dhtmlx","10.0.3","tree","5000","false","2","98","98","8","60","61","24","50","","1.0.0","20260903-213711","2026-09-03T18:39:29.018Z"
"dhtmlx","10.0.3","tree","5000","false","3","97","97","8","60","61","26","49","","1.0.0","20260903-213711","2026-09-03T18:39:31.782Z"
"dhtmlx","10.0.3","tree","5000","true","1","195","195","14","60","60","85","68","","1.0.0","20260903-213711","2026-09-03T18:39:34.793Z"
"dhtmlx","10.0.3","tree","5000","true","2","196","196","14","60","60","83","67","","1.0.0","20260903-213711","2026-09-03T18:39:37.745Z"
"dhtmlx","10.0.3","tree","5000","true","3","194","194","14","60","61","84","66","","1.0.0","20260903-213711","2026-09-03T18:39:40.683Z"
"dhtmlx","10.0.3","tree","10000","false","1","142","142","10","60","61","39","63","","1.0.0","20260903-213711","2026-09-03T18:39:43.548Z"
"dhtmlx","10.0.3","tree","10000","false","2","146","146","10","60","61","38","63","","1.0.0","20260903-213711","2026-09-03T18:39:46.381Z"
"dhtmlx","10.0.3","tree","10000","false","3","145","145","10","60","61","36","66","","1.0.0","20260903-213711","2026-09-03T18:39:49.213Z"
"dhtmlx","10.0.3","tree","10000","true","1","299","299","23","60","60","125","107","","1.0.0","20260903-213711","2026-09-03T18:39:52.332Z"
"dhtmlx","10.0.3","tree","10000","true","2","316","316","23","60","60","127","110","","1.0.0","20260903-213711","2026-09-03T18:39:55.467Z"
"dhtmlx","10.0.3","tree","10000","true","3","311","311","23","60","60","126","110","","1.0.0","20260903-213711","2026-09-03T18:39:58.636Z"
"dhtmlx","10.0.3","tree","50000","false","1","520","520","33","60","60","129","214","","1.0.0","20260903-213711","2026-09-03T18:40:02.098Z"
"dhtmlx","10.0.3","tree","50000","false","2","519","519","33","60","60","126","217","","1.0.0","20260903-213711","2026-09-03T18:40:05.551Z"
"dhtmlx","10.0.3","tree","50000","false","3","533","533","33","60","60","132","220","","1.0.0","20260903-213711","2026-09-03T18:40:09.032Z"
