lib,version,shape,size,autoScheduling,ttr,ttfp,memory,fps,fpsMin,move,bulk,samples,note,harness,session,measured_at
"dhtmlx","10.0.3","flat","1000","false","74","74","5","60","61","16","30","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","flat","1000","true","107","107","7","60","61","45","27","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","flat","5000","false","110","110","8","60","61","31","43","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","flat","5000","true","217","216","14","60","60","140","69","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","flat","10000","false","224","172","10","60","60","43","68","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","flat","10000","true","404","359","22","60","61","253","150","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","flat","50000","false","513","471","33","60","60","189","208","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","flat","50000","true","1252","1216","86","60","60","1003","599","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","flat","100000","false","838","838","62","60","60","360","380","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","flat","100000","true","2363","2362","167","60","60","1952","1222","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","tree","1000","false","128","83","5","60","61","14","29","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","tree","1000","true","165","120","7","60","61","30","32","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","tree","5000","false","128","128","8","60","61","29","52","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","tree","5000","true","285","239","14","60","60","87","73","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","tree","10000","false","234","189","10","60","60","41","72","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","tree","10000","true","369","369","23","60","61","137","125","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","tree","50000","false","651","651","33","60","60","146","224","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","tree","50000","true","1367","1334","93","60","61","536","551","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","tree","100000","false","1142","1142","63","60","60","285","417","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"dhtmlx","10.0.3","tree","100000","true","2531","2531","181","60","60","999","1040","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"bryntum","7.3.6","flat","1000","false","833","260","55","60","60","119","333","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","flat","1000","true","911","252","57","60","61","456","532","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","flat","5000","false","2486","473","172","58","58","354","803","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","flat","5000","true","3262","472","178","60","60","1756","1954","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","flat","10000","false","4453","737","319","60","60","580","1212","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","flat","10000","true","6809","731","331","60","60","3316","3903","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","flat","50000","false","21983","2614","1532","60","60","3456","6317","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","flat","50000","true","72061","2628","1596","60","60","17360","20943","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","flat","100000","false","59156","6025","3039","59","57","8830","17559","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","flat","100000","true","","","","","","","","","DNF (ttr)","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","tree","1000","false","814","261","55","60","61","128","264","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","tree","1000","true","889","254","57","60","61","398","473","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","tree","5000","false","2460","485","172","57","55","383","487","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","tree","5000","true","2828","487","177","60","59","1414","1433","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","tree","10000","false","4554","750","318","60","60","695","765","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","tree","10000","true","5219","748","328","60","60","2655","2684","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","tree","50000","false","22414","2652","1529","60","60","3893","3486","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","tree","50000","true","25680","2670","1579","60","60","13024","13920","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","tree","100000","false","52719","5128","3033","60","60","9100","9941","","","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"bryntum","7.3.6","tree","100000","true","61961","5067","3130","60","59","39472","","","DNF (bulk)","1.0.0","20260915-191259","2026-09-15T16:12:59.696Z"
"devextreme","26.1.4","flat","1000","false","491","250","13","24","19","114","47497","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","flat","1000","true","493","255","13","24","19","8880","","","DNF (bulk)","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","flat","5000","false","3889","1701","17","2","1","1642","","","DNF (bulk)","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","flat","5000","true","3820","1663","17","2","1","","","","error: page.evaluate: RangeError: Maximum call stack size exceeded","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","flat","10000","false","13824","5672","22","0","0","5824","","","skipped — bulk failed at 5000","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","flat","10000","true","13696","5609","22","0","0","","","","skipped — move failed at 5000","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","flat","50000","false","","","","","","","","","DNF (ttr)","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","flat","50000","true","","","","","","","","","DNF (ttr)","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","flat","100000","false","","","","","","","","","skipped — could not load 50000 tasks","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","flat","100000","true","","","","","","","","","skipped — could not load 50000 tasks","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","tree","1000","false","343","228","13","15","11","106","41582","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","tree","1000","true","347","232","13","15","11","1281","90371","","error: Maximum call stack size exceeded","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
