lib,version,shape,size,autoScheduling,run,ttr,ttfp,memory,fps,fpsMin,move,bulk,note,harness,session,measured_at
"dhtmlx","10.0.3","flat","1000","false","1","74","74","5","60","61","16","37","","1.0.0","20260903-193551","2026-09-03T16:35:54.431Z"
"dhtmlx","10.0.3","flat","1000","false","2","75","75","5","60","61","21","30","","1.0.0","20260903-193551","2026-09-03T16:35:57.302Z"
"dhtmlx","10.0.3","flat","1000","false","3","74","74","5","60","61","16","25","","1.0.0","20260903-193551","2026-09-03T16:36:00.157Z"
"dhtmlx","10.0.3","flat","1000","true","1","106","106","7","60","61","42","31","","1.0.0","20260903-193551","2026-09-03T16:36:03.079Z"
"dhtmlx","10.0.3","flat","1000","true","2","107","107","7","60","61","45","26","","1.0.0","20260903-193551","2026-09-03T16:36:05.993Z"
"dhtmlx","10.0.3","flat","1000","true","3","221","221","7","60","61","52","27","","1.0.0","20260903-193551","2026-09-03T16:36:08.882Z"
"dhtmlx","10.0.3","flat","5000","false","1","110","110","8","60","61","31","56","","1.0.0","20260903-193551","2026-09-03T16:36:11.831Z"
"dhtmlx","10.0.3","flat","5000","false","2","109","109","8","60","61","33","42","","1.0.0","20260903-193551","2026-09-03T16:36:14.716Z"
"dhtmlx","10.0.3","flat","5000","false","3","111","111","8","60","61","31","43","","1.0.0","20260903-193551","2026-09-03T16:36:17.613Z"
"dhtmlx","10.0.3","flat","5000","true","1","205","205","14","60","60","135","75","","1.0.0","20260903-193551","2026-09-03T16:36:20.759Z"
"dhtmlx","10.0.3","flat","5000","true","2","233","233","14","60","60","141","69","","1.0.0","20260903-193551","2026-09-03T16:36:23.770Z"
"dhtmlx","10.0.3","flat","5000","true","3","217","216","14","60","60","140","64","","1.0.0","20260903-193551","2026-09-03T16:36:26.961Z"
"dhtmlx","10.0.3","flat","10000","false","1","208","150","10","60","60","43","63","","1.0.0","20260903-193551","2026-09-03T16:36:30.061Z"
"dhtmlx","10.0.3","flat","10000","false","2","260","207","10","60","60","41","68","","1.0.0","20260903-193551","2026-09-03T16:36:33.240Z"
"dhtmlx","10.0.3","flat","10000","false","3","224","172","10","60","61","45","68","","1.0.0","20260903-193551","2026-09-03T16:36:36.089Z"
"dhtmlx","10.0.3","flat","10000","true","1","328","328","22","60","61","288","155","","1.0.0","20260903-193551","2026-09-03T16:36:39.640Z"
"dhtmlx","10.0.3","flat","10000","true","2","404","359","22","60","60","253","150","","1.0.0","20260903-193551","2026-09-03T16:36:43.329Z"
"dhtmlx","10.0.3","flat","10000","true","3","457","398","22","60","61","250","126","","1.0.0","20260903-193551","2026-09-03T16:36:46.772Z"
"dhtmlx","10.0.3","flat","50000","false","1","513","471","33","60","60","187","210","","1.0.0","20260903-193551","2026-09-03T16:36:50.500Z"
"dhtmlx","10.0.3","flat","50000","false","2","463","463","33","60","60","189","208","","1.0.0","20260903-193551","2026-09-03T16:36:54.129Z"
"dhtmlx","10.0.3","flat","50000","false","3","520","476","33","60","60","194","208","","1.0.0","20260903-193551","2026-09-03T16:36:57.855Z"
"dhtmlx","10.0.3","flat","50000","true","1","1246","1246","86","60","60","1003","599","","1.0.0","20260903-193551","2026-09-03T16:37:03.488Z"
"dhtmlx","10.0.3","flat","50000","true","2","1252","1206","86","60","60","993","601","","1.0.0","20260903-193551","2026-09-03T16:37:09.194Z"
"dhtmlx","10.0.3","flat","50000","true","3","1259","1216","86","60","61","1005","598","","1.0.0","20260903-193551","2026-09-03T16:37:14.869Z"
"dhtmlx","10.0.3","flat","100000","false","1","825","825","62","60","61","360","380","","1.0.0","20260903-193551","2026-09-03T16:37:19.199Z"
"dhtmlx","10.0.3","flat","100000","false","2","854","854","62","60","60","374","380","","1.0.0","20260903-193551","2026-09-03T16:37:23.386Z"
"dhtmlx","10.0.3","flat","100000","false","3","838","838","62","60","60","359","380","","1.0.0","20260903-193551","2026-09-03T16:37:27.750Z"
"dhtmlx","10.0.3","flat","100000","true","1","2363","2362","167","60","61","1952","1222","","1.0.0","20260903-193551","2026-09-03T16:37:35.921Z"
"dhtmlx","10.0.3","flat","100000","true","2","2363","2363","167","60","60","1961","1214","","1.0.0","20260903-193551","2026-09-03T16:37:44.113Z"
"dhtmlx","10.0.3","flat","100000","true","3","2385","2341","167","60","60","1927","1222","","1.0.0","20260903-193551","2026-09-03T16:37:52.293Z"
"dhtmlx","10.0.3","tree","1000","false","1","287","106","5","60","61","15","29","","1.0.0","20260903-193551","2026-09-03T16:37:55.229Z"
"dhtmlx","10.0.3","tree","1000","false","2","128","83","5","60","61","13","26","","1.0.0","20260903-193551","2026-09-03T16:37:58.198Z"
"dhtmlx","10.0.3","tree","1000","false","3","80","80","5","60","61","14","30","","1.0.0","20260903-193551","2026-09-03T16:38:01.079Z"
"dhtmlx","10.0.3","tree","1000","true","1","165","120","7","60","61","30","32","","1.0.0","20260903-193551","2026-09-03T16:38:04.077Z"
"dhtmlx","10.0.3","tree","1000","true","2","167","120","7","60","61","31","29","","1.0.0","20260903-193551","2026-09-03T16:38:07.070Z"
"dhtmlx","10.0.3","tree","1000","true","3","165","119","7","60","60","29","34","","1.0.0","20260903-193551","2026-09-03T16:38:10.064Z"
"dhtmlx","10.0.3","tree","5000","false","1","128","128","8","60","61","30","51","","1.0.0","20260903-193551","2026-09-03T16:38:12.993Z"
"dhtmlx","10.0.3","tree","5000","false","2","128","128","8","60","61","29","52","","1.0.0","20260903-193551","2026-09-03T16:38:15.979Z"
"dhtmlx","10.0.3","tree","5000","false","3","169","127","8","60","61","26","56","","1.0.0","20260903-193551","2026-09-03T16:38:19.017Z"
"dhtmlx","10.0.3","tree","5000","true","1","241","240","14","60","60","86","78","","1.0.0","20260903-193551","2026-09-03T16:38:22.164Z"
"dhtmlx","10.0.3","tree","5000","true","2","285","239","14","60","60","87","73","","1.0.0","20260903-193551","2026-09-03T16:38:25.401Z"
"dhtmlx","10.0.3","tree","5000","true","3","285","235","14","60","60","88","73","","1.0.0","20260903-193551","2026-09-03T16:38:28.660Z"
"dhtmlx","10.0.3","tree","10000","false","1","234","189","10","60","60","41","69","","1.0.0","20260903-193551","2026-09-03T16:38:31.783Z"
"dhtmlx","10.0.3","tree","10000","false","2","241","241","10","60","61","39","76","","1.0.0","20260903-193551","2026-09-03T16:38:34.677Z"
"dhtmlx","10.0.3","tree","10000","false","3","225","182","10","60","60","41","72","","1.0.0","20260903-193551","2026-09-03T16:38:37.772Z"
"dhtmlx","10.0.3","tree","10000","true","1","369","369","23","60","61","139","125","","1.0.0","20260903-193551","2026-09-03T16:38:41.128Z"
"dhtmlx","10.0.3","tree","10000","true","2","360","360","23","60","61","137","127","","1.0.0","20260903-193551","2026-09-03T16:38:44.494Z"
"dhtmlx","10.0.3","tree","10000","true","3","381","381","23","60","61","137","121","","1.0.0","20260903-193551","2026-09-03T16:38:47.680Z"
"dhtmlx","10.0.3","tree","50000","false","1","628","628","33","60","60","146","224","","1.0.0","20260903-193551","2026-09-03T16:38:51.226Z"
"dhtmlx","10.0.3","tree","50000","false","2","652","652","33","60","60","146","224","","1.0.0","20260903-193551","2026-09-03T16:38:54.807Z"
"dhtmlx","10.0.3","tree","50000","false","3","651","651","33","60","60","151","224","","1.0.0","20260903-193551","2026-09-03T16:38:58.415Z"
"dhtmlx","10.0.3","tree","50000","true","1","1379","1334","93","60","61","537","551","","1.0.0","20260903-193551","2026-09-03T16:39:03.697Z"
"dhtmlx","10.0.3","tree","50000","true","2","1367","1319","93","60","61","536","545","","1.0.0","20260903-193551","2026-09-03T16:39:08.946Z"
"dhtmlx","10.0.3","tree","50000","true","3","1350","1350","93","60","61","536","563","","1.0.0","20260903-193551","2026-09-03T16:39:13.984Z"
"dhtmlx","10.0.3","tree","100000","false","1","1175","1175","63","60","60","285","417","","1.0.0","20260903-193551","2026-09-03T16:39:18.474Z"
"dhtmlx","10.0.3","tree","100000","false","2","1142","1142","62","60","60","287","418","","1.0.0","20260903-193551","2026-09-03T16:39:22.911Z"
"dhtmlx","10.0.3","tree","100000","false","3","1135","1135","63","60","60","275","412","","1.0.0","20260903-193551","2026-09-03T16:39:27.541Z"
"dhtmlx","10.0.3","tree","100000","true","1","2531","2531","181","60","60","1021","1040","","1.0.0","20260903-193551","2026-09-03T16:39:34.978Z"
"dhtmlx","10.0.3","tree","100000","true","2","2525","2525","181","60","60","997","1098","","1.0.0","20260903-193551","2026-09-03T16:39:42.468Z"
"dhtmlx","10.0.3","tree","100000","true","3","2631","2585","181","60","60","999","1031","","1.0.0","20260903-193551","2026-09-03T16:39:49.822Z"
"bryntum","7.3.6","flat","1000","false","1","824","259","55","60","60","119","333","","1.0.0","20260915-191259","2026-09-15T16:13:04.190Z"
"bryntum","7.3.6","flat","1000","false","2","833","260","55","60","61","173","416","","1.0.0","20260915-191259","2026-09-15T16:13:08.850Z"
"bryntum","7.3.6","flat","1000","false","3","998","301","55","60","60","116","300","","1.0.0","20260915-191259","2026-09-15T16:13:13.760Z"
"bryntum","7.3.6","flat","1000","true","1","921","252","57","60","61","456","532","","1.0.0","20260915-191259","2026-09-15T16:13:18.787Z"
"bryntum","7.3.6","flat","1000","true","2","911","255","57","60","61","456","531","","1.0.0","20260915-191259","2026-09-15T16:13:23.800Z"
"bryntum","7.3.6","flat","1000","true","3","896","246","57","60","61","585","643","","1.0.0","20260915-191259","2026-09-15T16:13:29.024Z"
"bryntum","7.3.6","flat","5000","false","1","2486","471","172","58","58","354","803","","1.0.0","20260915-191259","2026-09-15T16:13:36.104Z"
"bryntum","7.3.6","flat","5000","false","2","2804","486","172","56","54","400","829","","1.0.0","20260915-191259","2026-09-15T16:13:43.732Z"
"bryntum","7.3.6","flat","5000","false","3","2405","473","172","60","59","316","693","","1.0.0","20260915-191259","2026-09-15T16:13:50.479Z"
"bryntum","7.3.6","flat","5000","true","1","3255","472","178","60","60","1756","1954","","1.0.0","20260915-191259","2026-09-15T16:14:00.780Z"
"bryntum","7.3.6","flat","5000","true","2","3262","476","178","60","59","1767","1951","","1.0.0","20260915-191259","2026-09-15T16:14:11.116Z"
"bryntum","7.3.6","flat","5000","true","3","3336","469","178","60","60","1747","2062","","1.0.0","20260915-191259","2026-09-15T16:14:21.652Z"
"bryntum","7.3.6","flat","10000","false","1","4476","737","319","60","60","608","1307","","1.0.0","20260915-191259","2026-09-15T16:14:31.578Z"
"bryntum","7.3.6","flat","10000","false","2","4453","757","319","60","60","580","1212","","1.0.0","20260915-191259","2026-09-15T16:14:41.368Z"
"bryntum","7.3.6","flat","10000","false","3","4406","725","319","60","61","580","1208","","1.0.0","20260915-191259","2026-09-15T16:14:51.112Z"
"bryntum","7.3.6","flat","10000","true","1","6748","723","331","60","60","3316","4232","","1.0.0","20260915-191259","2026-09-15T16:15:08.996Z"
"bryntum","7.3.6","flat","10000","true","2","6809","756","331","60","60","3304","3869","","1.0.0","20260915-191259","2026-09-15T16:15:26.581Z"
"bryntum","7.3.6","flat","10000","true","3","6878","731","331","60","60","3404","3903","","1.0.0","20260915-191259","2026-09-15T16:15:44.364Z"
"bryntum","7.3.6","flat","50000","false","1","21983","2604","1532","60","60","3456","5869","","1.0.0","20260915-191259","2026-09-15T16:16:20.985Z"
"bryntum","7.3.6","flat","50000","false","2","21968","2614","1532","60","60","3648","6317","","1.0.0","20260915-191259","2026-09-15T16:16:58.243Z"
